Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,4,1.700000e+00
2,3,1,3,1,1.700000e+00
3,4,2,1,1,2.550000e+00
4,3,1,3,2,1.700000e+00
5,4,2,1,2,8.500000e-01
6,6,2,3,4,2.550000e+00
7,3,1,3,1,1.700000e+00
8,6,2,3,4,2.550000e+00
9,1,1,1,4,8.500000e-01
10,2,1,2,2,2.550000e+00
11,4,2,1,1,8.500000e-01
12,4,2,1,2,8.500000e-01
13,4,2,1,1,8.500000e-01
14,1,1,1,3,8.500000e-01
15,6,2,3,2,1.700000e+00
16,3,1,3,1,1.700000e+00
17,5,2,2,3,1.700000e+00
18,4,2,1,2,8.500000e-01
19,3,1,3,3,8.500000e-01
20,2,1,2,1,8.500000e-01
21,4,2,1,3,1.700000e+00
22,4,2,1,2,1.700000e+00
23,6,2,3,3,1.700000e+00
24,3,1,3,4,2.550000e+00
25,2,1,2,3,8.500000e-01
26,1,1,1,4,1.700000e+00
27,3,1,3,3,2.550000e+00
28,1,1,1,3,2.550000e+00
29,5,2,2,3,8.500000e-01
30,1,1,1,3,2.550000e+00
31,1,1,1,3,2.550000e+00
32,4,2,1,2,1.700000e+00
33,6,2,3,1,1.700000e+00
34,6,2,3,1,2.550000e+00
35,3,1,3,4,1.700000e+00
36,6,2,3,4,8.500000e-01
37,4,2,1,4,1.700000e+00
38,1,1,1,4,2.550000e+00
39,5,2,2,2,2.550000e+00
40,3,1,3,3,8.500000e-01
41,1,1,1,3,2.550000e+00
42,3,1,3,2,8.500000e-01
43,1,1,1,3,8.500000e-01
44,6,2,3,3,8.500000e-01
45,5,2,2,4,2.550000e+00
46,6,2,3,2,2.550000e+00
47,5,2,2,4,8.500000e-01
48,4,2,1,2,1.700000e+00
49,2,1,2,3,8.500000e-01
50,1,1,1,4,2.550000e+00
51,1,1,1,1,1.700000e+00
52,6,2,3,1,2.550000e+00
53,6,2,3,1,1.700000e+00
54,3,1,3,4,2.550000e+00
