Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,3,8.500000e-01
2,5,2,2,2,1.700000e+00
3,6,2,3,1,2.550000e+00
4,4,2,1,1,8.500000e-01
5,6,2,3,2,1.700000e+00
6,1,1,1,4,8.500000e-01
7,6,2,3,3,2.550000e+00
8,4,2,1,2,1.700000e+00
9,5,2,2,3,8.500000e-01
10,3,1,3,3,2.550000e+00
11,4,2,1,4,8.500000e-01
12,1,1,1,2,1.700000e+00
13,4,2,1,3,2.550000e+00
14,3,1,3,2,1.700000e+00
15,1,1,1,4,1.700000e+00
16,5,2,2,1,1.700000e+00
17,4,2,1,1,2.550000e+00
18,3,1,3,3,2.550000e+00
19,1,1,1,2,8.500000e-01
20,6,2,3,1,8.500000e-01
21,5,2,2,2,8.500000e-01
22,1,1,1,1,2.550000e+00
23,2,1,2,2,1.700000e+00
24,3,1,3,2,1.700000e+00
25,1,1,1,2,1.700000e+00
26,4,2,1,1,2.550000e+00
27,1,1,1,1,2.550000e+00
28,6,2,3,4,1.700000e+00
29,4,2,1,4,2.550000e+00
30,2,1,2,2,2.550000e+00
31,5,2,2,4,2.550000e+00
32,3,1,3,3,1.700000e+00
33,1,1,1,2,1.700000e+00
34,3,1,3,3,2.550000e+00
35,6,2,3,2,8.500000e-01
36,1,1,1,4,8.500000e-01
37,1,1,1,1,2.550000e+00
38,4,2,1,1,1.700000e+00
39,3,1,3,1,8.500000e-01
40,4,2,1,3,2.550000e+00
41,6,2,3,1,8.500000e-01
42,6,2,3,3,8.500000e-01
43,2,1,2,1,1.700000e+00
44,3,1,3,4,2.550000e+00
45,2,1,2,2,8.500000e-01
46,6,2,3,2,1.700000e+00
47,3,1,3,1,8.500000e-01
48,4,2,1,2,8.500000e-01
49,4,2,1,4,8.500000e-01
50,1,1,1,1,2.550000e+00
51,2,1,2,4,8.500000e-01
52,6,2,3,4,1.700000e+00
53,6,2,3,4,2.550000e+00
54,3,1,3,1,1.700000e+00
