"CueColor","isiTime","itiTime"
"Green","1.5",2
"Blue","1.5",7
"Blue","1.5",3
"Blue","2.5",3
"Blue","1.5",3
"Green","1.5",2
"Green","2",2.5
"Blue","1.5",5
"Green","3",4.5
"Green","1.5",3
"Blue","2",7.5
"Green","3",3.5
"Blue","2",2.5
"Blue","1.5",2
"Blue","2",2.5
"Blue","3",8.5
"Green","1.5",3
"Green","1.5",5
"Green","3",3.5
"Green","2",5.5
"Green","2",2.5
"Green","1.5",5
"Blue","2",2.5
"Green","1.5",2
"Blue","3",8.5
"Green","2.5",3
"Blue","1.5",7
"Blue","2.5",3
"Blue","1.5",2
"Green","2",2.5
"Blue","1.5",3
"Blue","2.5",6
"Green","1.5",2
"Blue","2",2.5
"Green","1.5",2
"Green","1.5",3
"Blue","2.5",4
"Green","1.5",3
"Green","2.5",3
"Green","2",7.5
"Blue","2",2.5
"Blue","2",7.5
"Blue","1.5",2
"Blue","1.5",2
"Blue","1.5",3
"Green","1.5",2
"Blue","1.5",2
"Green","3",6.5
"Green","1.5",2
"Blue","2.5",3
"Green","3",4.5
"Green","1.5",2
"Blue","1.5",3
"Blue","1.5",3
"Green","2",5.5
"Green","2",3.5
