Trialn,TrialType,Partner,Feedback,ITI,ISI
1,6,2,3,1,1.700000e+00
2,6,2,3,4,2.550000e+00
3,2,1,2,1,2.550000e+00
4,1,1,1,3,2.550000e+00
5,4,2,1,2,8.500000e-01
6,3,1,3,1,8.500000e-01
7,4,2,1,2,2.550000e+00
8,5,2,2,3,8.500000e-01
9,1,1,1,3,2.550000e+00
10,1,1,1,4,8.500000e-01
11,4,2,1,1,8.500000e-01
12,3,1,3,3,1.700000e+00
13,3,1,3,2,2.550000e+00
14,3,1,3,1,2.550000e+00
15,4,2,1,2,1.700000e+00
16,5,2,2,3,1.700000e+00
17,2,1,2,2,8.500000e-01
18,2,1,2,3,8.500000e-01
19,3,1,3,2,1.700000e+00
20,6,2,3,3,1.700000e+00
21,1,1,1,4,8.500000e-01
22,5,2,2,1,8.500000e-01
23,3,1,3,2,8.500000e-01
24,6,2,3,4,8.500000e-01
25,3,1,3,4,1.700000e+00
26,3,1,3,4,2.550000e+00
27,1,1,1,1,8.500000e-01
28,4,2,1,3,1.700000e+00
29,1,1,1,1,1.700000e+00
30,3,1,3,2,1.700000e+00
31,1,1,1,3,1.700000e+00
32,6,2,3,1,2.550000e+00
33,3,1,3,4,2.550000e+00
34,5,2,2,1,1.700000e+00
35,4,2,1,3,8.500000e-01
36,2,1,2,3,8.500000e-01
37,4,2,1,2,1.700000e+00
38,1,1,1,1,2.550000e+00
39,4,2,1,2,1.700000e+00
40,5,2,2,2,8.500000e-01
41,6,2,3,4,2.550000e+00
42,3,1,3,1,2.550000e+00
43,6,2,3,4,2.550000e+00
44,6,2,3,1,1.700000e+00
45,6,2,3,3,2.550000e+00
46,1,1,1,2,1.700000e+00
47,4,2,1,4,1.700000e+00
48,4,2,1,4,8.500000e-01
49,4,2,1,2,2.550000e+00
50,1,1,1,3,8.500000e-01
51,1,1,1,3,2.550000e+00
52,6,2,3,2,2.550000e+00
53,6,2,3,4,1.700000e+00
54,2,1,2,1,8.500000e-01
