Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,3,2.550000e+00
2,1,1,1,4,2.550000e+00
3,3,1,3,4,2.550000e+00
4,4,2,1,2,1.700000e+00
5,6,2,3,3,8.500000e-01
6,4,2,1,2,8.500000e-01
7,2,1,2,1,8.500000e-01
8,5,2,2,4,8.500000e-01
9,5,2,2,2,2.550000e+00
10,3,1,3,2,1.700000e+00
11,3,1,3,1,1.700000e+00
12,4,2,1,1,8.500000e-01
13,4,2,1,2,8.500000e-01
14,3,1,3,3,2.550000e+00
15,1,1,1,3,2.550000e+00
16,1,1,1,3,2.550000e+00
17,2,1,2,2,2.550000e+00
18,3,1,3,1,1.700000e+00
19,6,2,3,3,1.700000e+00
20,1,1,1,4,1.700000e+00
21,4,2,1,4,1.700000e+00
22,3,1,3,3,8.500000e-01
23,3,1,3,1,1.700000e+00
24,6,2,3,4,2.550000e+00
25,5,2,2,3,8.500000e-01
26,3,1,3,3,8.500000e-01
27,5,2,2,4,2.550000e+00
28,3,1,3,4,2.550000e+00
29,6,2,3,1,1.700000e+00
30,2,1,2,3,8.500000e-01
31,1,1,1,3,8.500000e-01
32,6,2,3,1,1.700000e+00
33,6,2,3,1,2.550000e+00
34,6,2,3,1,2.550000e+00
35,2,1,2,4,1.700000e+00
36,1,1,1,4,2.550000e+00
37,4,2,1,2,1.700000e+00
38,3,1,3,4,1.700000e+00
39,6,2,3,2,1.700000e+00
40,2,1,2,3,8.500000e-01
41,5,2,2,3,1.700000e+00
42,6,2,3,4,2.550000e+00
43,1,1,1,1,1.700000e+00
44,3,1,3,2,8.500000e-01
45,1,1,1,3,8.500000e-01
46,4,2,1,1,2.550000e+00
47,6,2,3,2,2.550000e+00
48,6,2,3,4,8.500000e-01
49,1,1,1,4,8.500000e-01
50,1,1,1,3,2.550000e+00
51,4,2,1,2,1.700000e+00
52,4,2,1,1,8.500000e-01
53,4,2,1,2,8.500000e-01
54,4,2,1,3,1.700000e+00
