Trialn,TrialType,Partner,Feedback,ITI,ISI
1,5,2,2,3,8.500000e-01
2,3,1,3,2,1.700000e+00
3,3,1,3,3,8.500000e-01
4,3,1,3,2,8.500000e-01
5,6,2,3,1,2.550000e+00
6,3,1,3,3,2.550000e+00
7,3,1,3,4,2.550000e+00
8,6,2,3,3,8.500000e-01
9,2,1,2,3,8.500000e-01
10,6,2,3,3,1.700000e+00
11,2,1,2,2,2.550000e+00
12,4,2,1,4,1.700000e+00
13,1,1,1,3,2.550000e+00
14,1,1,1,1,1.700000e+00
15,3,1,3,4,1.700000e+00
16,1,1,1,4,8.500000e-01
17,6,2,3,4,8.500000e-01
18,3,1,3,1,1.700000e+00
19,1,1,1,3,2.550000e+00
20,5,2,2,3,1.700000e+00
21,4,2,1,2,8.500000e-01
22,4,2,1,3,1.700000e+00
23,4,2,1,1,2.550000e+00
24,4,2,1,2,1.700000e+00
25,6,2,3,1,1.700000e+00
26,3,1,3,1,1.700000e+00
27,6,2,3,1,1.700000e+00
28,3,1,3,1,1.700000e+00
29,4,2,1,2,1.700000e+00
30,1,1,1,3,8.500000e-01
31,3,1,3,3,8.500000e-01
32,1,1,1,3,2.550000e+00
33,6,2,3,4,2.550000e+00
34,6,2,3,2,1.700000e+00
35,3,1,3,4,2.550000e+00
36,2,1,2,1,8.500000e-01
37,1,1,1,4,2.550000e+00
38,2,1,2,3,8.500000e-01
39,4,2,1,1,8.500000e-01
40,6,2,3,4,2.550000e+00
41,1,1,1,3,2.550000e+00
42,4,2,1,1,8.500000e-01
43,1,1,1,4,2.550000e+00
44,1,1,1,3,8.500000e-01
45,5,2,2,2,2.550000e+00
46,1,1,1,4,1.700000e+00
47,6,2,3,2,2.550000e+00
48,5,2,2,4,2.550000e+00
49,4,2,1,2,1.700000e+00
50,6,2,3,1,2.550000e+00
51,4,2,1,2,8.500000e-01
52,2,1,2,4,1.700000e+00
53,5,2,2,4,8.500000e-01
54,4,2,1,2,8.500000e-01
