Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,1,1,1.700000e+00
2,1,1,1,2,1.700000e+00
3,2,1,2,2,8.500000e-01
4,6,2,3,2,1.700000e+00
5,1,1,1,4,8.500000e-01
6,4,2,1,1,8.500000e-01
7,1,1,1,2,1.700000e+00
8,3,1,3,3,2.550000e+00
9,6,2,3,1,8.500000e-01
10,4,2,1,2,1.700000e+00
11,1,1,1,1,2.550000e+00
12,4,2,1,1,2.550000e+00
13,4,2,1,2,8.500000e-01
14,6,2,3,4,1.700000e+00
15,5,2,2,1,1.700000e+00
16,3,1,3,3,8.500000e-01
17,6,2,3,3,2.550000e+00
18,5,2,2,3,8.500000e-01
19,1,1,1,1,2.550000e+00
20,4,2,1,4,8.500000e-01
21,6,2,3,2,1.700000e+00
22,6,2,3,4,2.550000e+00
23,3,1,3,4,2.550000e+00
24,6,2,3,2,8.500000e-01
25,1,1,1,4,1.700000e+00
26,3,1,3,3,1.700000e+00
27,2,1,2,2,1.700000e+00
28,3,1,3,2,1.700000e+00
29,1,1,1,2,1.700000e+00
30,6,2,3,1,8.500000e-01
31,3,1,3,1,8.500000e-01
32,6,2,3,4,1.700000e+00
33,1,1,1,1,2.550000e+00
34,3,1,3,1,8.500000e-01
35,3,1,3,3,2.550000e+00
36,3,1,3,3,2.550000e+00
37,1,1,1,4,8.500000e-01
38,4,2,1,4,2.550000e+00
39,4,2,1,1,2.550000e+00
40,2,1,2,2,2.550000e+00
41,1,1,1,2,8.500000e-01
42,5,2,2,2,1.700000e+00
43,5,2,2,4,2.550000e+00
44,2,1,2,4,8.500000e-01
45,6,2,3,3,8.500000e-01
46,6,2,3,1,2.550000e+00
47,2,1,2,1,1.700000e+00
48,3,1,3,1,1.700000e+00
49,4,2,1,4,8.500000e-01
50,5,2,2,2,8.500000e-01
51,3,1,3,2,1.700000e+00
52,4,2,1,3,2.550000e+00
53,1,1,1,1,2.550000e+00
54,4,2,1,3,2.550000e+00
