Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,3,2.550000e+00
2,3,1,3,3,8.500000e-01
3,6,2,3,3,1.700000e+00
4,1,1,1,3,1.700000e+00
5,6,2,3,4,1.700000e+00
6,1,1,1,1,1.700000e+00
7,1,1,1,4,8.500000e-01
8,5,2,2,3,1.700000e+00
9,5,2,2,4,8.500000e-01
10,2,1,2,2,1.700000e+00
11,2,1,2,3,1.700000e+00
12,4,2,1,2,1.700000e+00
13,1,1,1,1,2.550000e+00
14,1,1,1,4,8.500000e-01
15,5,2,2,4,2.550000e+00
16,4,2,1,2,8.500000e-01
17,6,2,3,2,8.500000e-01
18,2,1,2,4,1.700000e+00
19,1,1,1,3,2.550000e+00
20,4,2,1,2,8.500000e-01
21,3,1,3,3,8.500000e-01
22,5,2,2,2,2.550000e+00
23,4,2,1,4,1.700000e+00
24,3,1,3,2,2.550000e+00
25,3,1,3,1,2.550000e+00
26,6,2,3,3,1.700000e+00
27,3,1,3,3,8.500000e-01
28,2,1,2,2,2.550000e+00
29,4,2,1,3,8.500000e-01
30,4,2,1,4,1.700000e+00
31,2,1,2,3,1.700000e+00
32,3,1,3,1,8.500000e-01
33,1,1,1,1,1.700000e+00
34,4,2,1,2,8.500000e-01
35,6,2,3,1,8.500000e-01
36,6,2,3,1,2.550000e+00
37,6,2,3,2,2.550000e+00
38,6,2,3,4,2.550000e+00
39,3,1,3,4,2.550000e+00
40,6,2,3,2,2.550000e+00
41,6,2,3,3,8.500000e-01
42,6,2,3,4,8.500000e-01
43,3,1,3,1,1.700000e+00
44,5,2,2,3,8.500000e-01
45,1,1,1,1,2.550000e+00
46,1,1,1,4,1.700000e+00
47,4,2,1,2,2.550000e+00
48,4,2,1,4,2.550000e+00
49,3,1,3,1,8.500000e-01
50,3,1,3,1,2.550000e+00
51,3,1,3,1,1.700000e+00
52,4,2,1,1,8.500000e-01
53,4,2,1,1,2.550000e+00
54,1,1,1,4,1.700000e+00
