Trialn,TrialType,Partner,Feedback,ITI,ISI
1,6,2,3,1,1.700000e+00
2,3,1,3,2,8.500000e-01
3,1,1,1,1,8.500000e-01
4,3,1,3,4,8.500000e-01
5,2,1,2,3,2.550000e+00
6,4,2,1,3,2.550000e+00
7,3,1,3,2,1.700000e+00
8,6,2,3,4,2.550000e+00
9,4,2,1,3,2.550000e+00
10,1,1,1,2,2.550000e+00
11,3,1,3,4,8.500000e-01
12,5,2,2,1,1.700000e+00
13,3,1,3,1,8.500000e-01
14,1,1,1,3,1.700000e+00
15,1,1,1,4,2.550000e+00
16,3,1,3,4,1.700000e+00
17,1,1,1,2,8.500000e-01
18,3,1,3,2,8.500000e-01
19,1,1,1,2,2.550000e+00
20,6,2,3,3,8.500000e-01
21,5,2,2,2,8.500000e-01
22,1,1,1,1,2.550000e+00
23,1,1,1,4,1.700000e+00
24,2,1,2,3,1.700000e+00
25,3,1,3,3,2.550000e+00
26,6,2,3,1,2.550000e+00
27,6,2,3,1,8.500000e-01
28,4,2,1,1,2.550000e+00
29,6,2,3,4,2.550000e+00
30,3,1,3,4,2.550000e+00
31,2,1,2,1,1.700000e+00
32,3,1,3,4,2.550000e+00
33,6,2,3,4,8.500000e-01
34,3,1,3,1,8.500000e-01
35,6,2,3,1,1.700000e+00
36,4,2,1,2,8.500000e-01
37,5,2,2,3,1.700000e+00
38,4,2,1,4,8.500000e-01
39,4,2,1,4,2.550000e+00
40,4,2,1,4,1.700000e+00
41,2,1,2,1,2.550000e+00
42,6,2,3,4,1.700000e+00
43,1,1,1,1,1.700000e+00
44,6,2,3,2,8.500000e-01
45,1,1,1,2,8.500000e-01
46,1,1,1,1,2.550000e+00
47,4,2,1,2,1.700000e+00
48,5,2,2,4,1.700000e+00
49,4,2,1,3,1.700000e+00
50,5,2,2,3,8.500000e-01
51,2,1,2,4,8.500000e-01
52,4,2,1,3,2.550000e+00
53,6,2,3,3,1.700000e+00
54,4,2,1,2,1.700000e+00
