"CueColor","itiTime"
"Blue","1"
"Blue","1"
"Green","1"
"Blue","1"
"Blue","1"
"Green","1"
"Green","1"
"Green","1"
"Green","1"
"Blue","1"
"Blue","1"
"Green","1"
"Blue","1"
"Green","1"
"Green","1"
"Blue","1"
"Green","1"
"Green","1"
"Green","1"
"Blue","1"
"Green","1"
"Blue","1"
"Green","1"
"Green","1"
"Green","1"
"Green","1"
"Green","1"
"Blue","1"
"Green","1"
"Blue","1"
"Blue","1"
"Blue","1"
"Blue","1"
"Green","1"
"Green","1"
"Green","1"
"Blue","1"
"Green","1"
"Blue","1"
"Blue","1"
"Green","1"
"Blue","1"
"Blue","1"
"Blue","1"
"Green","1"
