Trialn,TrialType,Partner,Feedback,ITI,ISI
1,5,2,2,3,1.700000e+00
2,3,1,3,2,8.500000e-01
3,4,2,1,3,8.500000e-01
4,3,1,3,1,1.700000e+00
5,4,2,1,3,2.550000e+00
6,6,2,3,1,8.500000e-01
7,2,1,2,2,8.500000e-01
8,4,2,1,4,1.700000e+00
9,1,1,1,2,1.700000e+00
10,3,1,3,2,2.550000e+00
11,3,1,3,4,1.700000e+00
12,5,2,2,1,8.500000e-01
13,6,2,3,3,2.550000e+00
14,3,1,3,4,2.550000e+00
15,1,1,1,3,8.500000e-01
16,6,2,3,1,8.500000e-01
17,1,1,1,4,1.700000e+00
18,4,2,1,3,8.500000e-01
19,5,2,2,2,1.700000e+00
20,6,2,3,2,8.500000e-01
21,4,2,1,2,1.700000e+00
22,4,2,1,3,1.700000e+00
23,2,1,2,1,8.500000e-01
24,6,2,3,1,1.700000e+00
25,6,2,3,4,2.550000e+00
26,4,2,1,4,8.500000e-01
27,1,1,1,4,1.700000e+00
28,5,2,2,1,1.700000e+00
29,3,1,3,4,2.550000e+00
30,1,1,1,4,2.550000e+00
31,1,1,1,2,8.500000e-01
32,1,1,1,2,2.550000e+00
33,4,2,1,1,1.700000e+00
34,3,1,3,4,8.500000e-01
35,3,1,3,1,2.550000e+00
36,6,2,3,3,8.500000e-01
37,5,2,2,2,1.700000e+00
38,1,1,1,2,2.550000e+00
39,4,2,1,1,8.500000e-01
40,6,2,3,2,1.700000e+00
41,6,2,3,4,1.700000e+00
42,1,1,1,2,2.550000e+00
43,6,2,3,3,2.550000e+00
44,4,2,1,1,2.550000e+00
45,3,1,3,4,8.500000e-01
46,2,1,2,3,2.550000e+00
47,2,1,2,4,2.550000e+00
48,1,1,1,1,8.500000e-01
49,2,1,2,3,2.550000e+00
50,3,1,3,3,8.500000e-01
51,4,2,1,2,2.550000e+00
52,6,2,3,4,1.700000e+00
53,1,1,1,1,1.700000e+00
54,3,1,3,3,2.550000e+00
