Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,3,8.500000e-01
2,1,1,1,2,1.700000e+00
3,4,2,1,1,1.700000e+00
4,6,2,3,1,8.500000e-01
5,2,1,2,2,8.500000e-01
6,1,1,1,3,2.550000e+00
7,4,2,1,1,8.500000e-01
8,6,2,3,4,1.700000e+00
9,3,1,3,2,8.500000e-01
10,5,2,2,1,2.550000e+00
11,3,1,3,2,1.700000e+00
12,3,1,3,3,2.550000e+00
13,4,2,1,4,8.500000e-01
14,2,1,2,4,2.550000e+00
15,3,1,3,2,2.550000e+00
16,2,1,2,4,2.550000e+00
17,1,1,1,4,8.500000e-01
18,6,2,3,3,8.500000e-01
19,1,1,1,4,8.500000e-01
20,4,2,1,3,8.500000e-01
21,6,2,3,4,8.500000e-01
22,5,2,2,3,1.700000e+00
23,4,2,1,4,2.550000e+00
24,1,1,1,2,2.550000e+00
25,6,2,3,1,2.550000e+00
26,1,1,1,3,2.550000e+00
27,4,2,1,1,1.700000e+00
28,4,2,1,1,1.700000e+00
29,6,2,3,2,1.700000e+00
30,1,1,1,1,1.700000e+00
31,3,1,3,2,1.700000e+00
32,4,2,1,3,8.500000e-01
33,3,1,3,2,1.700000e+00
34,5,2,2,4,1.700000e+00
35,5,2,2,4,2.550000e+00
36,6,2,3,1,1.700000e+00
37,2,1,2,3,2.550000e+00
38,5,2,2,4,2.550000e+00
39,3,1,3,3,1.700000e+00
40,6,2,3,1,1.700000e+00
41,1,1,1,4,8.500000e-01
42,3,1,3,2,2.550000e+00
43,6,2,3,3,8.500000e-01
44,1,1,1,4,8.500000e-01
45,3,1,3,2,2.550000e+00
46,3,1,3,3,1.700000e+00
47,6,2,3,2,1.700000e+00
48,3,1,3,3,2.550000e+00
49,4,2,1,3,2.550000e+00
50,6,2,3,1,8.500000e-01
51,1,1,1,4,8.500000e-01
52,2,1,2,2,8.500000e-01
53,4,2,1,2,2.550000e+00
54,4,2,1,4,1.700000e+00
