Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,1,4,8.500000e-01
2,3,1,3,2,1.700000e+00
3,1,1,1,2,1.700000e+00
4,2,1,2,4,2.550000e+00
5,1,1,1,3,2.550000e+00
6,5,2,2,1,2.550000e+00
7,2,1,2,2,8.500000e-01
8,6,2,3,4,1.700000e+00
9,2,1,2,2,8.500000e-01
10,2,1,2,3,2.550000e+00
11,6,2,3,2,1.700000e+00
12,5,2,2,4,2.550000e+00
13,3,1,3,2,2.550000e+00
14,6,2,3,1,8.500000e-01
15,6,2,3,1,1.700000e+00
16,1,1,1,3,8.500000e-01
17,4,2,1,1,1.700000e+00
18,4,2,1,4,2.550000e+00
19,1,1,1,4,8.500000e-01
20,5,2,2,4,1.700000e+00
21,1,1,1,3,2.550000e+00
22,2,1,2,4,2.550000e+00
23,3,1,3,3,2.550000e+00
24,4,2,1,3,8.500000e-01
25,3,1,3,2,2.550000e+00
26,5,2,2,4,2.550000e+00
27,1,1,1,4,8.500000e-01
28,1,1,1,4,8.500000e-01
29,1,1,1,4,8.500000e-01
30,3,1,3,2,8.500000e-01
31,3,1,3,3,1.700000e+00
32,6,2,3,3,8.500000e-01
33,6,2,3,3,8.500000e-01
34,3,1,3,3,2.550000e+00
35,3,1,3,2,1.700000e+00
36,4,2,1,3,2.550000e+00
37,4,2,1,4,1.700000e+00
38,1,1,1,4,8.500000e-01
39,4,2,1,1,1.700000e+00
40,6,2,3,1,2.550000e+00
41,4,2,1,1,8.500000e-01
42,3,1,3,2,2.550000e+00
43,4,2,1,2,2.550000e+00
44,6,2,3,2,1.700000e+00
45,6,2,3,1,8.500000e-01
46,3,1,3,3,1.700000e+00
47,4,2,1,1,1.700000e+00
48,1,1,1,1,1.700000e+00
49,4,2,1,3,8.500000e-01
50,6,2,3,1,1.700000e+00
51,3,1,3,2,1.700000e+00
52,5,2,2,3,1.700000e+00
53,6,2,3,4,8.500000e-01
54,1,1,1,2,2.550000e+00
